,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered,total infected,accumulated cases,critical cases recovery rate,death rate,deimmunization rate,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,isolated critical case rate,symptomatic rate,new cases,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,fraction of symptomatic,non controlled population,incidence per 100000,case fatality rate,total infection rate,contacts per person symptomatic self,init total population
276.0,4969.023448138186,2022.2900248359456,286.44909630576853,210636.07277793303,3419084.5509380144,0.0,4363002.613714798,6991.313472974131,5270788.600436226,17.18694577834611,11.457963852230742,12119.451704763329,248.45117240690928,40.44580049671892,364.01220447047024,984.3928418288754,817.9487159082734,0.0,166.44412592060195,0.0,0.0,0.0,0.0,496.90234481381856,496.90234481381856,0.375,0.03749999999999999,0.1875,0.2892575240193966,7789078.478125786,65884.84926984667,0.039962914232701374,984.3928418288754,15.0,8000001
277.0,5215.2585634534935,2117.4558590162615,298.58585270149393,210647.76738721126,3430178.7380619505,0.0,4351543.194275695,7332.714422469755,5271297.499066326,17.915151162089636,11.943434108059758,12087.619984099152,260.76292817267466,42.34911718032523,381.14205462292705,1036.112341951368,861.2695883428607,0.0,174.84275360850737,0.0,0.0,0.0,0.0,521.5258563453493,521.5258563453493,0.375,0.03749999999999999,0.1875,0.28876835193904554,7789054.646760115,65891.21050192775,0.039961274700303306,1036.112341951368,15.0,8000001
278.0,5476.766684311503,2218.393442537179,311.43380934206505,210659.9613209104,3441187.855658653,0.0,4340146.589084273,7695.160126848682,5271831.764558729,18.6860285605239,12.457352373682602,12055.962747456315,273.8383342155752,44.367868850743584,399.3108196566922,1091.1277674560251,907.3618902994791,0.0,183.7658771565461,0.0,0.0,0.0,0.0,547.6766684311503,547.6766684311503,0.375,0.03749999999999999,0.1875,0.28828424697715216,7789029.6048697755,65897.88881974801,0.03995953792325605,1091.1277674560251,15.0,8000001
279.0,5754.5882629667285,2325.4887781856437,325.0388061314122,210672.68391906915,3452108.67324174,0.0,4328814.526991933,8080.077041152372,5272392.974816232,19.50232836788473,13.001552245256487,12024.484797199813,287.72941314833645,46.50977556371288,418.58798007341585,1149.6681536363976,956.4187810532504,0.0,193.2493725831472,0.0,0.0,0.0,0.0,575.4588262966729,575.4588262966729,0.375,0.03749999999999999,0.1875,0.2878052729375938,7789003.277274825,65904.90394708992,0.03995769756263513,1149.6681536363976,15.0,8000001
280.0,6049.839355600849,2439.155684552855,339.4499315605335,210685.96641850774,3462937.728108488,0.0,4317548.860501316,8488.995040153703,5272982.815462857,20.366995893632012,13.57799726242134,11993.191279170323,302.49196778004244,48.783113691057096,439.04802321951394,1211.9792971587465,1008.6475780019231,0.0,203.33171915682348,0.0,0.0,0.0,0.0,604.9839355600849,604.9839355600849,0.375,0.03749999999999999,0.1875,0.2873315007271687,7788975.5836499585,65912.2769542511,0.03995574683093557,1211.9792971587465,15.0,8000001
281.0,6363.717233432339,2559.837864976517,354.7197626221558,210699.8420874376,3473671.308334328,0.0,4306351.574717232,8923.555098408855,5273603.0876771435,21.28318575732935,14.188790504886233,11962.087707547867,318.1858616716169,51.19675729953034,460.770815695773,1278.324988418371,1064.2707975812475,0.0,214.0541908371235,0.0,0.0,0.0,0.0,636.3717233432338,636.3717233432338,0.375,0.03749999999999999,0.1875,0.28686300882850574,7788946.438149968,65920.0303559605,0.03995367845937838,1278.324988418371,15.0,8000001
282.0,6697.506396243758,2688.0111286020215,370.90462271858735,210714.3463700163,3484305.4345195894,0.0,4295224.796962859,9385.51752484578,5274255.716606201,22.254277363115243,14.836184908743494,11931.179991563498,334.8753198121879,53.76022257204043,483.8420031483639,1348.9883281950129,1123.5272671200764,0.0,225.4610610749364,0.0,0.0,0.0,0.0,669.7506396243758,669.7506396243758,0.375,0.03749999999999999,0.1875,0.2863998838088782,7788915.749007294,65928.18821655399,0.039951484662864176,1348.9883281950129,15.0,8000001
283.0,7052.585012552338,2824.185773588315,388.06485884148805,210729.51704159493,3494835.840204079,0.0,4284170.807109375,9876.770786140652,5274942.760401877,23.28389153048928,15.522594353659523,11900.474464192706,352.6292506276169,56.4837154717663,508.3534392458967,1424.2731327995682,1186.6733110941761,0.0,237.59982170539212,0.0,0.0,0.0,0.0,705.2585012552338,705.2585012552338,0.375,0.03749999999999999,0.1875,0.2859422208675013,7788883.418099594,65936.77626292642,0.03994915710242518,1424.2731327995682,15.0,8000001
284.0,7430.431811115156,2968.9091428859683,406.26513937534344,210745.394375453,3505257.950861,0.0,4273192.048670204,10399.340954001123,5275666.419922963,24.375908362520605,16.25060557501374,11869.97791297279,371.5215905557578,59.378182857719366,534.4036457194743,1504.5054317775066,1253.98401511285,0.0,250.52141666465653,0.0,0.0,0.0,0.0,743.0431811115157,743.0431811115157,0.375,0.03749999999999999,0.1875,0.28549012442405663,7788849.340485206,65945.82200580928,0.0399466868450205,1504.5054317775066,15.0,8000001
285.0,7832.633448702917,3122.7683633763827,425.57477394982055,210762.021321876,3515566.8613779508,0.0,4262291.140714177,10955.4018120793,5276429.049149773,25.534486436989233,17.022990957992825,11839.697613094935,391.63167243514584,62.45536726752766,562.098305407749,1590.0350620183524,1325.7545707689767,0.0,264.28049124937564,0.0,0.0,0.0,0.0,783.2633448702917,783.2633448702917,0.375,0.03749999999999999,0.1875,0.2850437087513535,7788813.403904207,65955.3548699528,0.03994406432051569,1590.0350620183524,15.0,8000001
286.0,8260.892379034462,3286.393279466039,446.0680568389709,210779.44370048435,3525757.311929191,0.0,4251470.890655015,11547.285658500501,5277233.166359959,26.76408341033825,17.842722273558838,11809.641362930597,413.04461895172307,65.72786558932079,591.5507903038871,1681.237361795278,1402.3017041834887,0.0,278.9356576117892,0.0,0.0,0.0,0.0,826.0892379034461,826.0892379034461,0.375,0.03749999999999999,0.1875,0.2846030986552039,7788775.488242706,65965.40633382369,0.03994127927568382,1681.237361795278,15.0,8000001
